ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data
0,1,60000,1000,1000,0.000100,50.00,98.62,98.60,16.50,18.00,16.50,18.00,98.62,98.60,16.50,18.00,16.50,18.00,97.35,97.49,87.50,86.40,87.50,86.40
1,1,60000,1000,2000,0.000100,20.00,98.62,98.60,45.40,39.20,30.95,28.60,97.35,97.49,42.80,40.80,65.15,63.60,92.82,92.68,82.50,79.60,79.80,78.60
2,0,60000,1000,3000,0.000300,70.00,98.62,98.60,44.00,37.20,35.30,31.47,92.82,92.68,41.50,35.20,67.03,64.13,85.35,85.31,77.40,72.80,77.70,76.40
3,0,60000,1000,4000,0.000200,100.00,98.62,98.60,26.20,24.00,33.02,29.60,85.35,85.31,15.00,15.60,62.02,61.20,97.39,97.39,39.00,33.20,60.55,58.80
4,2,60000,1000,5000,0.000300,100.00,98.62,98.60,45.00,41.20,35.42,31.92,97.39,97.39,42.30,36.80,56.90,54.40,96.45,96.64,75.10,68.80,63.22,60.56
5,2,60000,1000,6000,0.000400,80.00,98.62,98.60,20.00,23.60,32.85,30.53,96.45,96.64,10.60,13.20,54.45,52.67,96.42,96.68,25.10,27.20,58.27,56.27
6,2,60000,1000,7000,0.000500,100.00,98.62,98.60,42.10,40.00,34.17,31.89,96.42,96.68,43.10,41.20,56.10,54.11,95.00,95.02,60.40,58.00,56.44,53.94
7,2,60000,1000,8000,0.000900,100.00,98.62,98.60,14.60,11.60,31.73,29.35,95.00,95.02,1.90,1.20,49.62,47.35,9.87,9.80,0.00,0.00,12.50,12.50
8,0,60000,1000,9000,0.001000,40.00,98.62,98.60,37.30,40.40,32.34,30.58,9.87,9.80,0.00,0.00,11.11,11.11,87.16,87.06,76.50,75.20,59.87,58.22
9,0,60000,1000,10000,0.001000,30.00,98.62,98.60,42.60,40.00,33.37,31.52,87.16,87.06,40.50,36.40,57.93,56.04,87.21,87.17,79.60,72.40,62.73,61.48
