experiment_ID, 					ID, 					instance_ID, 					instance_digit,					instance_noise_type, 					acc_instance_before_last_model, 					acc_instance_last_model,					acc_on_task_first_model,					acc_on_task_before_last_model, 					acc_on_task_last_model					
0,0,0,8,1,33.20,82.40,88.60,88.60,100.00
0,1,0,8,1,82.40,68.80,88.60,100.00,99.28
0,1,1,9,1,19.20,80.40,79.68,67.59,98.91
0,2,0,8,1,68.80,44.80,88.60,99.28,98.36
0,2,1,9,1,80.40,95.60,79.68,98.91,100.00
0,2,2,9,1,28.00,83.20,79.68,98.91,100.00
0,3,0,8,1,44.80,44.80,88.60,98.36,95.69
0,3,1,9,1,95.60,86.40,79.68,100.00,99.70
0,3,2,9,1,83.20,78.80,79.68,100.00,99.70
0,3,3,2,1,3.60,81.60,92.05,86.34,99.03
0,4,0,8,1,44.80,44.00,88.60,95.69,95.69
0,4,1,9,1,86.40,85.20,79.68,99.70,99.41
0,4,2,9,1,78.80,72.80,79.68,99.70,99.41
0,4,3,2,1,81.60,78.80,92.05,99.03,98.93
0,4,4,5,1,39.60,73.20,88.34,77.24,95.74
0,5,0,8,1,44.00,74.00,88.60,95.69,99.28
0,5,1,9,1,85.20,79.60,79.68,99.41,98.02
0,5,2,9,1,72.80,67.20,79.68,99.41,98.02
0,5,3,2,1,78.80,69.60,92.05,98.93,96.61
0,5,4,5,1,73.20,68.40,88.34,95.74,93.16
0,5,5,8,1,47.60,81.20,88.60,95.69,99.28
0,6,0,8,1,74.00,65.20,88.60,99.28,96.92
0,6,1,9,1,79.60,75.60,79.68,98.02,97.52
0,6,2,9,1,67.20,61.60,79.68,98.02,97.52
0,6,3,2,1,69.60,67.60,92.05,96.61,95.83
0,6,4,5,1,68.40,81.60,88.34,93.16,97.76
0,6,5,8,1,81.20,67.20,88.60,99.28,96.92
0,6,6,5,1,9.60,56.00,88.34,93.16,97.76
0,7,0,8,1,65.20,57.60,88.60,96.92,96.82
0,7,1,9,1,75.60,84.40,79.68,97.52,99.21
0,7,2,9,1,61.60,76.80,79.68,97.52,99.21
0,7,3,2,1,67.60,65.60,92.05,95.83,91.67
0,7,4,5,1,81.60,76.40,88.34,97.76,96.08
0,7,5,8,1,67.20,70.80,88.60,96.92,96.82
0,7,6,5,1,56.00,50.80,88.34,97.76,96.08
0,7,7,9,2,30.00,63.60,79.39,81.96,95.64
0,8,0,8,1,57.60,50.00,88.60,96.82,94.15
0,8,1,9,1,84.40,79.20,79.68,99.21,98.32
0,8,2,9,1,76.80,68.00,79.68,99.21,98.32
0,8,3,2,1,65.60,62.40,92.05,91.67,90.99
0,8,4,5,1,76.40,89.60,88.34,96.08,99.22
0,8,5,8,1,70.80,57.20,88.60,96.82,94.15
0,8,6,5,1,50.80,58.80,88.34,96.08,99.22
0,8,7,9,2,63.60,51.20,79.39,95.64,93.76
0,8,8,5,1,30.40,76.80,88.34,96.08,99.22
0,9,0,8,1,50.00,46.80,88.60,94.15,94.46
0,9,1,9,1,79.20,79.60,79.68,98.32,98.41
0,9,2,9,1,68.00,69.20,79.68,98.32,98.41
0,9,3,2,1,62.40,70.80,92.05,90.99,97.19
0,9,4,5,1,89.60,86.00,88.34,99.22,99.44
0,9,5,8,1,57.20,58.80,88.60,94.15,94.46
0,9,6,5,1,58.80,60.80,88.34,99.22,99.44
0,9,7,9,2,51.20,42.80,79.39,93.76,90.19
0,9,8,5,1,76.80,69.60,88.34,99.22,99.44
0,9,9,2,2,35.60,70.40,93.31,79.94,95.35
