experiment_ID, 					ID, 					latest_new_instance_digit, 					noise type, 					Initial training dataset size, 					Oversampling Size per new instance, 					accumilated_retraining_dataset_size, 					lr, 					ewc_lambda, 										acc_digit_0_original, 					acc_digit_1_original, 					acc_digit_2_original, 					acc_digit_3_original, 					acc_digit_4_original, 					acc_digit_5_original, 					acc_digit_6_original, 					acc_digit_7_original, 					acc_digit_8_original, 					acc_digit_9_original, 					acc_digit_0_noise_0, 										digit_0_noise_0_counter,					acc_digit_1_noise_0, 					digit_1_noise_0_counter,					acc_digit_2_noise_0, 					digit_2_noise_0_counter,					acc_digit_3_noise_0, 					digit_3_noise_0_counter,					acc_digit_4_noise_0, 					digit_4_noise_0_counter,					acc_digit_5_noise_0, 					digit_5_noise_0_counter,					acc_digit_6_noise_0, 					digit_6_noise_0_counter,					acc_digit_7_noise_0, 					digit_7_noise_0_counter,					acc_digit_8_noise_0, 					digit_8_noise_0_counter,					acc_digit_9_noise_0, 					digit_9_noise_0_counter,										acc_digit_0_noise_1, 					digit_0_noise_1_counter,					acc_digit_1_noise_1, 					digit_1_noise_1_counter,					acc_digit_2_noise_1, 					digit_2_noise_1_counter,					acc_digit_3_noise_1, 					digit_3_noise_1_counter,					acc_digit_4_noise_1, 					digit_4_noise_1_counter,					acc_digit_5_noise_1, 					digit_5_noise_1_counter,					acc_digit_6_noise_1, 					digit_6_noise_1_counter,					acc_digit_7_noise_1, 					digit_7_noise_1_counter,					acc_digit_8_noise_1, 					digit_8_noise_1_counter,					acc_digit_9_noise_1, 					digit_9_noise_1_counter,										acc_digit_0_noise_2, 					digit_0_noise_2_counter,					acc_digit_1_noise_2, 					digit_1_noise_2_counter,					acc_digit_2_noise_2, 					digit_2_noise_2_counter,					acc_digit_3_noise_2, 					digit_3_noise_2_counter,					acc_digit_4_noise_2, 					digit_4_noise_2_counter,					acc_digit_5_noise_2, 					digit_5_noise_2_counter,					acc_digit_6_noise_2, 					digit_6_noise_2_counter,					acc_digit_7_noise_2, 					digit_7_noise_2_counter,					acc_digit_8_noise_2, 					digit_8_noise_2_counter,					acc_digit_9_noise_2, 					digit_9_noise_2_counter,										acc_overall_old_tasks_original_model,					acc_overall_old_tasks_before_last_model,					acc_overall_old_tasks_latest_model,					acc_overall_latest_new_tasks_original_model,					acc_overall_latest_new_tasks_before_last_model,					acc_overall_latest_new_tasks_latest_model					
0,0,9,1,						60000,1000,1000,0.000100,60.00,						99.49,98.41,98.45,98.42,95.11,98.43,97.49,97.37,96.20,99.50,						98.98,0.00,98.68,0.00,95.93,0.00,95.94,0.00,94.09,0.00,97.98,0.00,96.24,0.00,96.79,0.00,95.48,0.00,98.41,0.00,						99.18,0.00,99.30,0.00,92.15,0.00,88.81,0.00,94.30,0.00,87.44,0.00,95.93,0.00,93.00,0.00,87.99,0.00,97.52,1.00,						98.88,0.00,96.48,0.00,91.86,0.00,93.17,0.00,92.16,0.00,92.04,0.00,91.75,0.00,92.70,0.00,88.91,0.00,95.74,0.00,						98.63,98.63,97.90,99.08,99.08,98.98
0,1,8,0,						60000,1000,2000,0.000200,70.00,						99.29,96.39,97.77,97.43,90.43,98.65,96.03,96.40,99.28,99.80,						98.67,0.00,89.87,0.00,93.31,0.00,94.26,0.00,84.32,0.00,96.64,0.00,93.42,0.00,94.75,0.00,99.28,1.00,97.42,0.00,						99.18,0.00,97.97,0.00,91.18,0.00,86.83,0.00,90.53,0.00,87.00,0.00,96.14,0.00,92.61,0.00,97.23,0.00,97.82,1.00,						96.94,0.00,74.19,0.00,86.05,0.00,88.32,0.00,76.07,0.00,89.35,0.00,85.39,0.00,86.77,0.00,98.97,0.00,92.17,0.00,						98.63,97.90,97.13,99.43,98.82,93.95
0,2,4,0,						60000,1000,3000,0.000400,80.00,						97.96,40.35,92.15,92.87,99.29,96.52,90.61,93.48,99.18,98.91,						96.22,0.00,35.42,0.00,80.04,0.00,81.88,0.00,99.08,1.00,85.99,0.00,79.44,0.00,88.42,0.00,99.38,1.00,95.54,0.00,						97.76,0.00,37.53,0.00,72.38,0.00,55.94,0.00,98.68,0.00,68.27,0.00,73.59,0.00,86.19,0.00,93.63,0.00,92.86,1.00,						89.90,0.00,21.41,0.00,61.34,0.00,59.90,0.00,98.88,0.00,70.29,0.00,58.46,0.00,72.96,0.00,97.84,0.00,77.40,0.00,						98.63,97.13,89.37,98.63,93.74,68.99
0,3,9,1,						60000,1000,4000,0.000900,80.00,						91.84,2.29,84.30,85.25,89.31,90.02,72.55,89.59,97.13,100.00,						82.86,0.00,5.46,0.00,65.02,0.00,70.30,0.00,83.20,1.00,73.65,0.00,45.51,0.00,79.96,0.00,97.74,1.00,99.21,0.00,						91.02,0.00,0.79,0.00,62.89,0.00,44.65,0.00,88.09,0.00,55.04,0.00,32.25,0.00,77.43,0.00,81.83,0.00,99.50,2.00,						60.71,0.00,2.64,0.00,40.02,0.00,47.62,0.00,74.85,0.00,51.57,0.00,19.94,0.00,57.00,0.00,96.00,0.00,95.64,0.00,						98.63,89.37,79.08,98.63,68.99,49.09
0,4,2,0,						60000,1000,5000,0.000800,100.00,						98.16,28.46,99.22,91.58,90.84,88.57,88.62,88.52,94.97,99.80,						96.12,0.00,22.73,0.00,98.26,1.00,84.55,0.00,82.59,1.00,77.24,0.00,76.10,0.00,77.33,0.00,95.69,1.00,98.71,0.00,						98.27,0.00,30.66,0.00,95.83,0.00,63.56,0.00,90.73,0.00,58.52,0.00,62.00,0.00,78.50,0.00,78.64,0.00,99.01,2.00,						89.08,0.00,13.74,0.00,97.00,0.00,70.50,0.00,76.68,0.00,61.43,0.00,50.10,0.00,51.75,0.00,91.58,0.00,94.65,0.00,						98.63,79.08,86.07,98.05,54.25,73.80
0,5,6,2,						60000,1000,6000,0.001000,80.00,						97.55,28.37,99.32,89.11,93.48,93.50,99.58,81.91,95.59,99.90,						96.73,0.00,25.29,0.00,98.06,1.00,78.12,0.00,89.31,1.00,85.65,0.00,98.85,0.00,61.58,0.00,95.07,1.00,98.91,0.00,						97.55,0.00,28.81,0.00,96.03,0.00,53.27,0.00,91.85,0.00,60.65,0.00,95.93,0.00,70.14,0.00,77.72,0.00,99.41,2.00,						91.43,0.00,10.40,0.00,95.45,0.00,56.53,0.00,80.35,0.00,67.71,0.00,96.97,1.00,26.85,0.00,90.25,0.00,93.46,0.00,						98.63,86.07,86.90,97.92,75.48,76.14
0,6,4,0,						60000,1000,7000,0.001000,70.00,						96.94,3.08,99.13,87.72,97.05,93.27,99.16,81.81,95.28,99.80,						95.41,0.00,6.17,0.00,97.38,1.00,74.26,0.00,96.54,2.00,81.84,0.00,97.91,0.00,58.37,0.00,94.46,1.00,96.23,0.00,						96.12,0.00,1.41,0.00,94.77,0.00,48.51,0.00,96.74,0.00,58.18,0.00,92.69,0.00,67.80,0.00,72.90,0.00,97.42,2.00,						88.88,0.00,2.82,0.00,93.60,0.00,47.23,0.00,94.50,0.00,62.56,0.00,95.51,1.00,22.37,0.00,88.19,0.00,81.57,0.00,						98.63,86.90,84.05,97.92,76.14,72.15
0,7,5,1,						60000,1000,8000,0.001000,40.00,						96.12,17.00,98.93,90.30,96.74,99.33,97.49,84.63,95.17,99.60,						92.14,0.00,11.01,0.00,96.32,1.00,77.92,0.00,96.84,2.00,98.43,0.00,97.39,0.00,66.25,0.00,94.05,1.00,94.25,0.00,						95.71,0.00,17.62,0.00,94.67,0.00,58.51,0.00,96.23,0.00,91.70,1.00,96.87,0.00,73.54,0.00,76.08,0.00,97.62,2.00,						79.08,0.00,1.94,0.00,89.92,0.00,54.26,0.00,95.32,0.00,92.38,0.00,95.82,1.00,28.02,0.00,86.55,0.00,66.60,0.00,						98.63,84.05,86.40,97.98,73.59,76.90
0,8,0,1,						60000,1000,9000,0.000900,40.00,						98.57,22.20,98.64,92.87,96.33,99.33,96.24,89.01,94.46,99.21,						97.65,0.00,30.40,0.00,96.51,1.00,85.25,0.00,96.23,2.00,98.99,0.00,96.66,0.00,75.58,0.00,94.15,1.00,93.56,0.00,						99.69,1.00,21.15,0.00,94.09,0.00,69.50,0.00,94.60,0.00,90.13,1.00,94.78,0.00,82.30,0.00,73.41,0.00,97.82,2.00,						92.35,0.00,15.86,0.00,90.50,0.00,69.50,0.00,95.32,0.00,92.94,0.00,94.99,1.00,41.93,0.00,86.04,0.00,67.49,0.00,						98.63,86.40,87.64,97.93,79.71,84.60
0,9,8,2,						60000,1000,10000,0.000500,10.00,						97.76,23.26,98.16,89.80,95.52,99.44,95.82,88.52,97.84,99.21,						94.80,0.00,15.42,0.00,93.70,1.00,74.36,0.00,96.03,2.00,97.76,0.00,96.24,0.00,71.98,0.00,98.46,1.00,90.19,0.00,						99.49,1.00,26.08,0.00,93.41,0.00,65.54,0.00,92.97,0.00,90.02,1.00,95.72,0.00,81.81,0.00,89.43,0.00,98.32,2.00,						80.00,0.00,3.17,0.00,82.36,0.00,48.42,0.00,94.91,0.00,89.24,0.00,92.59,1.00,33.46,0.00,96.10,1.00,50.05,0.00,						98.63,87.64,87.49,97.89,83.45,78.57
