experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data
0,0,0,60000,1000,1000,0.000100,70.00,98.62,98.61,31.00,32.00,31.00,32.00,98.62,98.61,31.00,32.00,31.00,32.00,98.01,97.88,65.50,70.00,65.50,70.00
0,1,2,60000,1000,2000,0.000200,120.00,98.62,98.61,47.00,39.60,39.00,35.80,98.01,97.88,35.10,30.40,50.30,50.20,97.81,97.94,77.90,74.40,68.65,70.20
0,2,2,60000,1000,3000,0.000300,170.00,98.62,98.61,24.90,27.20,34.30,32.93,97.81,97.94,29.20,32.80,55.50,57.73,97.13,97.29,66.20,64.80,68.43,70.00
1,0,0,60000,1000,1000,0.000100,120.00,98.66,98.76,36.00,36.80,36.00,36.80,98.66,98.76,36.00,36.80,36.00,36.80,98.24,98.32,73.20,70.40,73.20,70.40
1,1,2,60000,1000,2000,0.000300,90.00,98.66,98.76,5.80,6.80,20.90,21.80,98.24,98.32,3.80,4.00,38.50,37.20,97.50,97.71,56.90,59.20,69.20,70.60
1,2,1,60000,1000,3000,0.000400,60.00,98.66,98.76,43.70,42.40,28.50,28.67,97.50,97.71,34.90,39.60,57.77,60.27,96.12,96.25,83.40,84.00,69.43,70.00
2,0,0,60000,1000,1000,0.000100,190.00,98.70,98.56,33.40,32.80,33.40,32.80,98.70,98.56,33.40,32.80,33.40,32.80,97.75,97.92,83.70,84.80,83.70,84.80
2,1,0,60000,1000,2000,0.000100,150.00,98.70,98.56,36.70,40.80,35.05,36.80,97.75,97.92,29.00,30.00,56.35,57.40,98.08,98.16,66.40,70.00,68.70,71.00
2,2,1,60000,1000,3000,0.000100,0.00,98.70,98.56,16.80,21.20,28.97,31.60,98.08,98.16,12.70,14.00,50.03,52.00,87.70,87.94,79.60,80.00,75.37,76.67
3,0,0,60000,1000,1000,0.000200,60.00,98.69,98.73,22.20,21.60,22.20,21.60,98.69,98.73,22.20,21.60,22.20,21.60,97.27,97.44,72.30,70.40,72.30,70.40
