experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data
0,0,1,60000,1000,1000,0.000100,0.00,98.64,98.68,9.20,10.40,9.20,10.40,98.64,98.68,9.20,10.40,9.20,10.40,89.43,89.59,92.40,91.60,92.40,91.60
0,1,0,60000,1000,2000,0.000100,0.00,98.64,98.68,39.00,40.80,24.10,25.60,89.43,89.59,18.60,18.80,55.50,55.20,86.11,86.32,87.50,87.60,83.20,81.80
0,2,2,60000,1000,3000,0.000100,0.00,98.64,98.68,15.60,16.80,21.27,22.67,86.11,86.32,19.70,20.40,62.03,61.33,80.21,79.90,70.90,78.00,74.30,76.27
0,3,1,60000,1000,4000,0.000100,0.00,98.64,98.68,41.00,41.20,26.20,27.30,80.21,79.90,11.80,13.60,58.67,60.60,85.70,85.51,83.60,84.00,71.28,73.00
0,4,1,60000,1000,5000,0.000100,0.00,98.64,98.68,63.30,59.60,33.62,33.76,85.70,85.51,27.00,25.20,62.42,63.44,90.75,91.31,92.60,94.80,72.42,73.92
0,5,0,60000,1000,6000,0.000100,0.00,98.64,98.68,41.20,40.40,34.88,34.87,90.75,91.31,28.50,25.60,65.10,65.87,91.94,92.38,81.70,82.00,69.23,70.67
0,6,2,60000,1000,7000,0.000300,0.00,98.64,98.68,4.50,5.20,30.54,30.63,91.94,92.38,0.20,0.00,59.37,60.57,80.36,81.08,28.30,26.00,72.34,71.77
0,7,0,60000,1000,8000,0.000300,0.00,98.64,98.68,41.80,39.60,31.95,31.75,80.36,81.08,49.50,48.00,69.49,68.80,78.64,79.68,91.20,91.60,73.81,73.95
0,8,2,60000,1000,9000,0.000300,0.00,98.64,98.68,24.60,31.20,31.13,31.69,78.64,79.68,0.00,0.00,65.61,65.73,83.74,84.68,57.70,59.60,72.42,73.11
0,9,2,60000,1000,10000,0.000300,0.00,98.64,98.68,8.10,6.00,28.83,29.12,83.74,84.68,11.40,12.80,66.32,67.08,79.48,80.72,58.50,56.80,70.49,71.12
