experiment_ID, 					ID, 					instance_ID, 					instance_digit,					instance_noise_type, 					acc_instance_before_last_model, 					acc_instance_last_model,					acc_on_task_before_last_model, 					acc_on_task_last_model					
0,0,0,9,1,10.40,91.60,79.58,99.80
0,1,0,9,1,91.60,76.00,99.80,99.41
0,1,1,8,0,18.80,87.60,86.24,99.79
0,2,0,9,1,76.00,74.40,99.41,99.21
0,2,1,8,0,87.60,76.40,99.79,98.36
0,2,2,3,2,20.40,78.00,89.60,99.60
0,3,0,9,1,74.40,67.60,99.21,98.61
0,3,1,8,0,76.40,74.00,98.36,98.25
0,3,2,3,2,78.00,66.40,99.60,99.21
0,3,3,7,1,13.60,84.00,37.26,97.47
0,4,0,9,1,67.60,53.60,98.61,98.22
0,4,1,8,0,74.00,73.20,98.25,98.15
0,4,2,3,2,66.40,69.60,99.21,99.31
0,4,3,7,1,84.00,78.40,97.47,96.79
0,4,4,1,1,25.20,94.80,58.77,92.60
0,5,0,9,1,53.60,51.20,98.22,98.32
0,5,1,8,0,73.20,68.00,98.15,96.30
0,5,2,3,2,69.60,51.20,99.31,99.41
0,5,3,7,1,78.40,76.80,96.79,95.53
0,5,4,1,1,94.80,94.80,92.60,92.16
0,5,5,2,0,25.60,82.00,72.29,96.22
0,6,0,9,1,51.20,70.40,98.32,98.51
0,6,1,8,0,68.00,71.60,96.30,95.48
0,6,2,3,2,51.20,60.00,99.41,99.01
0,6,3,7,1,76.80,90.40,95.53,96.01
0,6,4,1,1,94.80,97.60,92.16,91.89
0,6,5,2,0,82.00,86.40,96.22,90.41
0,6,6,7,2,0.00,26.00,72.37,90.47
0,7,0,9,1,70.40,68.40,98.51,98.22
0,7,1,8,0,71.60,68.00,95.48,93.53
0,7,2,3,2,60.00,96.00,99.01,99.90
0,7,3,7,1,90.40,86.40,96.01,95.62
0,7,4,1,1,97.60,98.00,91.89,94.63
0,7,5,2,0,86.40,82.40,90.41,81.78
0,7,6,7,2,26.00,0.80,90.47,57.98
0,7,7,3,0,48.00,91.60,98.51,99.80
0,8,0,9,1,68.40,62.00,98.22,97.82
0,8,1,8,0,68.00,70.80,93.53,94.35
0,8,2,3,2,96.00,91.60,99.90,99.80
0,8,3,7,1,86.40,85.60,95.62,96.79
0,8,4,1,1,98.00,97.60,94.63,93.48
0,8,5,2,0,82.40,84.00,81.78,83.82
0,8,6,7,2,0.80,13.60,57.98,75.39
0,8,7,3,0,91.60,93.20,99.80,99.80
0,8,8,0,2,0.00,59.60,0.61,85.31
0,9,0,9,1,62.00,78.40,97.82,98.41
0,9,1,8,0,70.80,65.20,94.35,92.81
0,9,2,3,2,91.60,86.80,99.80,99.70
0,9,3,7,1,85.60,83.60,96.79,94.84
0,9,4,1,1,97.60,96.80,93.48,91.63
0,9,5,2,0,84.00,83.60,83.82,83.53
0,9,6,7,2,13.60,15.20,75.39,77.53
0,9,7,3,0,93.20,92.00,99.80,99.80
0,9,8,0,2,59.60,52.80,85.31,82.65
0,9,9,9,2,12.80,56.80,58.37,93.66
