experiment_ID, ID, latest_new_instance_digit, noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, acc_digit_0_original, acc_digit_1_original, acc_digit_2_original, acc_digit_3_original, acc_digit_4_original, acc_digit_5_original, acc_digit_6_original, acc_digit_7_original, acc_digit_8_original, acc_digit_9_original, acc_digit_0_noise_0, digit_0_noise_0_counter,acc_digit_1_noise_0, digit_1_noise_0_counter,acc_digit_2_noise_0, digit_2_noise_0_counter,acc_digit_3_noise_0, digit_3_noise_0_counter,acc_digit_4_noise_0, digit_4_noise_0_counter,acc_digit_5_noise_0, digit_5_noise_0_counter,acc_digit_6_noise_0, digit_6_noise_0_counter,acc_digit_7_noise_0, digit_7_noise_0_counter,acc_digit_8_noise_0, digit_8_noise_0_counter,acc_digit_9_noise_0, digit_9_noise_0_counter,acc_overall_old_tasks_original_model,acc_overall_old_tasks_before_last_model,acc_overall_old_tasks_latest_model,acc_overall_latest_new_tasks_original_model,acc_overall_latest_new_tasks_before_last_model,acc_overall_latest_new_tasks_latest_model
0,0,9,0,						60000,1000,1000,0.000200,80.00,						99.49,99.30,97.77,97.33,98.27,98.54,97.60,97.96,97.33,99.01,						4.69,0.00,9.34,0.00,1.26,0.00,6.44,0.00,3.56,0.00,12.56,0.00,0.73,0.00,6.71,0.00,0.72,0.00,30.33,1.00,						98.57,98.57,98.27,4.90,4.90,4.69
0,1,5,0,						60000,1000,2000,0.000200,100.00,						99.18,98.94,96.71,96.83,97.96,99.78,96.24,97.67,96.82,98.81,						0.82,0.00,0.00,0.00,0.29,0.00,21.49,0.00,0.31,0.00,51.46,1.00,0.00,0.00,1.07,0.00,0.21,0.00,13.48,1.00,						98.57,98.27,97.89,7.04,7.19,0.38
0,2,5,0,						60000,1000,3000,0.000200,80.00,						98.37,98.41,93.60,92.67,96.23,100.00,94.68,96.30,93.63,98.32,						0.00,0.00,0.00,0.00,0.00,0.00,3.27,0.00,0.00,0.00,88.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,9.71,1.00,						98.57,97.89,96.21,7.04,0.38,0.00
0,3,9,0,						60000,1000,4000,0.000200,50.00,						97.24,98.15,89.34,88.91,93.79,99.89,92.48,94.07,91.99,99.21,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.55,2.00,0.00,0.00,0.00,0.00,0.00,0.00,29.14,2.00,						98.57,96.21,94.49,7.04,0.00,0.00
0,4,7,0,						60000,1000,5000,0.000300,80.00,						97.55,98.24,87.40,94.16,93.99,99.89,90.92,99.03,93.63,99.01,						0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,52.58,2.00,0.00,0.00,40.08,1.00,0.00,0.00,47.77,2.00,						98.57,94.49,95.38,8.83,0.00,0.00
0,5,2,0,						60000,1000,6000,0.000500,60.00,						98.37,97.89,97.58,95.25,93.38,99.78,89.25,99.32,92.71,98.91,						0.00,0.00,0.00,0.00,33.04,1.00,0.89,0.00,0.00,0.00,44.06,2.00,0.00,0.00,30.45,1.00,0.00,0.00,35.38,2.00,						98.57,95.38,96.28,13.83,0.07,8.42
0,6,3,0,						60000,1000,7000,0.000800,80.00,						98.47,98.15,97.19,97.03,93.79,99.78,89.77,99.22,92.20,98.22,						0.00,0.00,0.00,0.00,13.95,1.00,33.07,1.00,0.00,0.00,44.96,2.00,0.00,0.00,37.84,1.00,0.00,0.00,14.97,2.00,						98.57,96.28,96.42,11.19,6.81,9.30
0,7,3,0,						60000,1000,8000,0.000900,50.00,						97.35,97.53,95.74,97.62,92.46,99.66,86.95,98.74,88.60,98.41,						0.00,0.00,0.00,0.00,3.49,1.00,69.90,2.00,0.00,0.00,28.36,2.00,0.00,0.00,24.90,1.00,0.00,0.00,11.40,2.00,						98.57,96.42,95.36,11.19,9.30,14.44
0,8,5,0,						60000,1000,9000,0.001000,40.00,						96.22,96.92,95.25,95.74,92.57,100.00,84.03,98.74,86.04,98.22,						0.00,0.00,0.00,0.00,1.74,1.00,42.08,2.00,0.00,0.00,55.16,3.00,0.00,0.00,22.28,1.00,0.00,0.00,14.37,2.00,						98.57,95.36,94.43,11.19,14.44,8.62
0,9,4,0,						60000,1000,10000,0.000800,30.00,						96.22,97.53,94.86,96.73,99.19,100.00,86.95,98.35,87.68,97.42,						0.00,0.00,0.00,0.00,3.49,1.00,49.11,2.00,3.46,1.00,42.49,3.00,0.00,0.00,27.82,1.00,0.00,0.00,12.29,2.00,						98.57,94.43,95.53,11.13,15.50,15.67
