experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					acc_instance_test_first_model, acc_instance_test_before_last_model, acc_instance_test_last_model,					acc_accumilated_instances_test_first_model, acc_accumilated_instances_test_before_last_model, acc_accumilated_instances_test_last_model
0,0,0,60000,1000,1000,0.000134,34.36,98.64,98.67,6.90,8.80,6.90,8.80,98.64,98.67,6.90,8.80,6.90,8.80,94.74,94.45,83.40,81.60,83.40,81.60,8.80,8.80,81.60,8.80,8.80,81.60
0,1,0,60000,1000,2000,0.000119,54.58,98.64,98.67,25.60,23.20,16.25,16.00,94.74,94.45,12.00,10.00,47.70,45.80,95.81,96.00,68.10,72.00,59.45,60.80,23.20,10.00,72.00,16.00,45.80,60.80
0,2,0,60000,1000,3000,0.000104,54.95,98.64,98.67,7.50,8.40,13.33,13.47,95.81,96.00,47.20,45.60,55.37,55.73,94.87,95.08,99.60,99.20,73.13,73.47,8.40,45.60,99.20,13.47,55.73,73.47
0,3,0,60000,1000,4000,0.000154,89.08,98.64,98.67,0.00,0.00,10.00,10.10,94.87,95.08,0.00,0.00,54.85,55.10,97.52,97.72,11.00,7.60,54.83,54.90,0.00,0.00,7.60,10.10,55.10,54.90
0,4,0,60000,1000,5000,0.000124,13.23,98.64,98.67,8.90,8.00,9.78,9.68,97.52,97.72,2.10,2.40,44.28,44.40,95.35,95.44,18.70,21.20,54.06,54.24,8.00,2.40,21.20,9.68,44.40,54.24
0,5,0,60000,1000,6000,0.000263,81.17,98.64,98.67,9.90,12.00,9.80,10.07,95.35,95.44,12.30,11.60,47.10,47.13,94.44,94.67,88.40,91.60,67.33,68.73,12.00,11.60,91.60,10.07,47.13,68.73
0,6,0,60000,1000,7000,0.000319,96.45,98.64,98.67,8.20,10.80,9.57,10.17,94.44,94.67,4.30,5.60,58.33,59.71,94.40,94.72,66.40,69.20,60.13,61.09,10.80,5.60,69.20,10.17,59.71,61.09
0,7,0,60000,1000,8000,0.000182,55.47,98.64,98.67,9.10,8.00,9.51,9.90,94.40,94.72,4.60,5.20,53.19,54.10,94.72,94.89,35.10,34.00,48.15,49.20,8.00,5.20,34.00,9.90,54.10,49.20
0,8,0,60000,1000,9000,0.000162,30.81,98.64,98.67,11.40,13.60,9.72,10.31,94.72,94.89,0.00,0.00,42.80,43.73,94.83,95.09,69.10,70.40,44.24,43.73,13.60,0.00,70.40,10.31,43.73,43.73
0,9,0,60000,1000,10000,0.001294,93.21,98.64,98.67,0.40,0.00,8.79,9.28,94.83,95.09,0.00,0.00,39.82,39.36,92.76,93.30,29.00,25.20,57.08,55.32,0.00,0.00,25.20,9.28,39.36,55.32
