experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data
0,0,2,60000,1000,1000,0.000200,70.00,98.66,98.69,5.40,8.00,5.40,8.00,98.66,98.69,5.40,8.00,5.40,8.00,97.22,97.39,70.00,70.00,70.00,70.00
0,1,0,60000,1000,2000,0.000200,50.00,98.66,98.69,31.60,30.80,18.50,19.40,97.22,97.39,35.40,34.40,52.70,52.20,94.73,94.91,82.80,83.60,72.15,71.60
0,2,0,60000,1000,3000,0.000600,70.00,98.66,98.69,36.60,31.20,24.53,23.33,94.73,94.91,22.00,18.00,55.43,53.73,91.77,92.00,60.30,56.40,70.73,70.00
0,3,2,60000,1000,4000,0.000700,80.00,98.66,98.69,31.20,30.80,26.20,25.20,91.77,92.00,11.20,12.80,55.85,55.70,86.67,86.53,84.70,85.60,69.78,70.40
0,4,1,60000,1000,5000,0.000900,40.00,98.66,98.69,23.00,20.40,25.56,24.24,86.67,86.53,0.50,0.40,55.92,56.40,93.03,93.22,68.00,62.00,72.06,70.16
0,5,0,60000,1000,6000,0.001000,30.00,98.66,98.69,48.30,40.80,29.35,27.00,93.03,93.22,23.60,20.80,63.98,61.93,93.78,94.14,80.30,81.20,71.62,70.80
0,6,0,60000,1000,7000,0.001000,30.00,98.66,98.69,37.40,40.40,30.50,28.91,93.78,94.14,23.80,27.60,64.79,64.63,94.68,94.96,88.50,89.60,71.00,70.17
0,7,1,60000,1000,8000,0.000600,10.00,98.66,98.69,53.50,58.00,33.38,32.55,94.68,94.96,47.50,49.20,68.06,67.55,94.42,94.90,93.10,92.00,71.28,70.15
0,8,0,60000,1000,9000,0.000700,10.00,98.66,98.69,62.70,62.00,36.63,35.82,94.42,94.90,31.00,31.20,66.80,65.82,95.34,95.71,80.50,80.00,70.87,70.49
0,9,1,60000,1000,10000,0.000900,10.00,98.66,98.69,5.80,2.80,33.55,32.52,95.34,95.71,24.60,24.00,66.24,65.84,86.91,86.75,68.10,69.20,71.33,70.36
