experiment_ID, 					ID, 					latest_new_instance_digit, 					noise type, 					Initial training dataset size, 					Oversampling Size per new instance, 					accumilated_retraining_dataset_size, 					lr, 					ewc_lambda, 										acc_digit_0_original, 					acc_digit_1_original, 					acc_digit_2_original, 					acc_digit_3_original, 					acc_digit_4_original, 					acc_digit_5_original, 					acc_digit_6_original, 					acc_digit_7_original, 					acc_digit_8_original, 					acc_digit_9_original, 					acc_digit_0_noise_0, 										digit_0_noise_0_counter,					acc_digit_1_noise_0, 					digit_1_noise_0_counter,					acc_digit_2_noise_0, 					digit_2_noise_0_counter,					acc_digit_3_noise_0, 					digit_3_noise_0_counter,					acc_digit_4_noise_0, 					digit_4_noise_0_counter,					acc_digit_5_noise_0, 					digit_5_noise_0_counter,					acc_digit_6_noise_0, 					digit_6_noise_0_counter,					acc_digit_7_noise_0, 					digit_7_noise_0_counter,					acc_digit_8_noise_0, 					digit_8_noise_0_counter,					acc_digit_9_noise_0, 					digit_9_noise_0_counter,										acc_digit_0_noise_1, 					digit_0_noise_1_counter,					acc_digit_1_noise_1, 					digit_1_noise_1_counter,					acc_digit_2_noise_1, 					digit_2_noise_1_counter,					acc_digit_3_noise_1, 					digit_3_noise_1_counter,					acc_digit_4_noise_1, 					digit_4_noise_1_counter,					acc_digit_5_noise_1, 					digit_5_noise_1_counter,					acc_digit_6_noise_1, 					digit_6_noise_1_counter,					acc_digit_7_noise_1, 					digit_7_noise_1_counter,					acc_digit_8_noise_1, 					digit_8_noise_1_counter,					acc_digit_9_noise_1, 					digit_9_noise_1_counter,										acc_digit_0_noise_2, 					digit_0_noise_2_counter,					acc_digit_1_noise_2, 					digit_1_noise_2_counter,					acc_digit_2_noise_2, 					digit_2_noise_2_counter,					acc_digit_3_noise_2, 					digit_3_noise_2_counter,					acc_digit_4_noise_2, 					digit_4_noise_2_counter,					acc_digit_5_noise_2, 					digit_5_noise_2_counter,					acc_digit_6_noise_2, 					digit_6_noise_2_counter,					acc_digit_7_noise_2, 					digit_7_noise_2_counter,					acc_digit_8_noise_2, 					digit_8_noise_2_counter,					acc_digit_9_noise_2, 					digit_9_noise_2_counter,										acc_overall_old_tasks_original_model,					acc_overall_old_tasks_before_last_model,					acc_overall_old_tasks_latest_model,					acc_overall_latest_new_tasks_original_model,					acc_overall_latest_new_tasks_before_last_model,					acc_overall_latest_new_tasks_latest_model					
0,0,9,2,						60000,1000,1000,0.000200,70.00,						98.88,98.41,97.77,97.72,92.36,97.76,97.60,97.96,95.69,99.50,						97.96,0.00,98.68,0.00,94.28,0.00,95.25,0.00,88.70,0.00,95.74,0.00,95.09,0.00,96.60,0.00,94.25,0.00,98.91,0.00,						96.94,0.00,99.30,0.00,88.08,0.00,85.25,0.00,89.41,0.00,80.94,0.00,93.63,0.00,92.90,0.00,81.52,0.00,98.32,0.00,						97.14,0.00,94.19,0.00,89.63,0.00,90.69,0.00,84.32,0.00,89.01,0.00,88.94,0.00,93.29,0.00,85.83,0.00,97.82,1.00,						98.69,98.69,97.39,99.08,99.08,97.96
0,1,0,0,						60000,1000,2000,0.000200,50.00,						99.90,98.24,95.25,95.94,90.12,95.96,85.91,96.79,91.17,98.91,						100.00,1.00,98.50,0.00,89.24,0.00,91.68,0.00,83.50,0.00,90.02,0.00,72.96,0.00,95.62,0.00,85.83,0.00,97.92,0.00,						99.90,0.00,99.47,0.00,80.72,0.00,75.84,0.00,86.05,0.00,69.62,0.00,60.75,0.00,92.70,0.00,70.12,0.00,95.64,0.00,						99.69,0.00,95.24,0.00,77.13,0.00,77.33,0.00,75.25,0.00,75.78,0.00,50.42,0.00,90.66,0.00,70.33,0.00,96.04,1.00,						98.69,97.39,94.91,99.43,98.35,99.20
0,2,8,0,						60000,1000,3000,0.000600,70.00,						99.69,92.78,91.28,93.27,81.16,91.59,78.71,94.65,97.54,98.61,						99.90,1.00,77.89,0.00,79.07,0.00,82.38,0.00,63.14,0.00,77.24,0.00,55.95,0.00,90.27,0.00,97.23,1.00,96.93,0.00,						99.80,0.00,95.68,0.00,77.23,0.00,68.02,0.00,78.72,0.00,61.10,0.00,67.12,0.00,90.86,0.00,93.43,0.00,96.43,0.00,						99.59,0.00,46.70,0.00,59.11,0.00,57.72,0.00,40.84,0.00,52.47,0.00,24.84,0.00,75.68,0.00,94.15,0.00,91.87,1.00,						98.69,94.91,92.00,98.41,95.93,85.13
0,3,4,2,						60000,1000,4000,0.000700,80.00,						99.80,25.55,92.73,93.66,95.72,91.82,84.34,94.36,97.23,98.91,						99.90,1.00,35.95,0.00,83.91,0.00,85.35,0.00,93.08,0.00,79.71,0.00,68.16,0.00,91.93,0.00,96.82,1.00,97.22,0.00,						99.69,0.00,8.02,0.00,78.20,0.00,62.57,0.00,95.93,0.00,55.94,0.00,67.75,0.00,88.52,0.00,90.14,0.00,96.13,0.00,						99.49,0.00,16.92,0.00,66.38,0.00,60.00,0.00,90.84,1.00,53.70,0.00,42.59,0.00,79.38,0.00,92.61,0.00,93.56,1.00,						98.69,92.00,86.53,97.86,84.46,74.93
0,4,3,1,						60000,1000,5000,0.000900,40.00,						99.90,92.42,92.64,98.91,93.18,90.25,76.30,93.77,96.71,97.32,						99.69,1.00,83.61,0.00,85.56,0.00,97.13,0.00,89.92,0.00,79.71,0.00,67.01,0.00,91.63,0.00,96.30,1.00,96.93,0.00,						99.80,0.00,94.54,0.00,82.17,0.00,95.64,1.00,94.70,0.00,68.50,0.00,66.08,0.00,89.40,0.00,93.74,0.00,94.95,0.00,						99.29,0.00,46.78,0.00,66.47,0.00,93.76,0.00,85.85,1.00,60.65,0.00,38.20,0.00,79.09,0.00,91.07,0.00,92.67,1.00,						98.69,86.53,93.22,97.76,78.40,90.93
0,5,6,0,						60000,1000,6000,0.001000,30.00,						99.69,80.79,90.79,99.11,93.28,94.39,98.54,92.80,96.92,97.32,						99.59,1.00,54.54,0.00,80.81,0.00,97.13,0.00,89.21,0.00,89.13,0.00,97.08,1.00,88.81,0.00,96.10,1.00,96.13,0.00,						99.69,0.00,79.47,0.00,79.94,0.00,94.46,1.00,92.87,0.00,77.80,0.00,98.12,0.00,86.19,0.00,93.02,0.00,95.04,0.00,						99.08,0.00,23.26,0.00,58.33,0.00,91.98,0.00,86.46,1.00,77.58,0.00,93.63,0.00,73.64,0.00,91.27,0.00,91.58,1.00,						98.69,93.22,94.14,97.79,89.27,84.25
0,6,2,0,						60000,1000,7000,0.001000,30.00,						99.80,89.60,98.45,96.14,95.01,92.04,98.64,89.49,95.07,96.04,						99.59,1.00,75.95,0.00,96.90,1.00,92.48,0.00,90.12,0.00,82.85,0.00,96.87,1.00,84.82,0.00,93.63,1.00,93.56,0.00,						99.59,0.00,91.54,0.00,92.83,0.00,92.57,1.00,94.40,0.00,77.24,0.00,97.91,0.00,89.69,0.00,91.07,0.00,94.95,0.00,						98.98,0.00,47.05,0.00,90.79,0.00,86.04,0.00,86.56,1.00,70.40,0.00,92.90,0.00,76.95,0.00,87.47,0.00,87.51,1.00,						98.69,94.14,94.96,97.83,86.01,90.49
0,7,7,1,						60000,1000,8000,0.000600,10.00,						99.69,82.64,99.03,96.04,94.91,91.37,98.75,95.33,95.89,96.73,						99.29,1.00,66.78,0.00,96.80,1.00,91.78,0.00,91.45,0.00,82.29,0.00,97.08,1.00,91.44,0.00,94.35,1.00,93.06,0.00,						99.08,0.00,83.44,0.00,93.80,0.00,93.27,1.00,94.40,0.00,77.02,0.00,97.91,0.00,97.37,1.00,90.86,0.00,88.50,0.00,						98.67,0.00,37.89,0.00,90.31,0.00,84.65,0.00,87.07,1.00,65.92,0.00,92.90,0.00,86.67,0.00,88.19,0.00,86.42,1.00,						98.69,94.96,94.90,97.87,89.76,89.30
0,8,5,0,						60000,1000,9000,0.000700,10.00,						99.69,84.05,98.84,96.73,95.11,98.43,98.33,96.40,95.89,95.54,						99.39,1.00,68.37,0.00,96.80,1.00,92.48,0.00,92.57,0.00,95.74,1.00,96.97,1.00,93.29,0.00,94.25,1.00,93.36,0.00,						98.98,0.00,81.94,0.00,94.28,0.00,92.18,1.00,95.01,0.00,90.02,0.00,97.81,0.00,97.37,1.00,91.27,0.00,87.61,0.00,						98.57,0.00,39.91,0.00,90.60,0.00,85.94,0.00,89.10,1.00,89.01,0.00,93.11,0.00,89.98,0.00,88.09,0.00,85.93,1.00,						98.69,94.90,95.71,97.82,89.85,91.78
0,9,8,1,						60000,1000,10000,0.000900,10.00,						99.59,8.55,98.45,96.53,93.69,98.21,98.02,95.91,96.51,94.15,						99.29,1.00,22.73,0.00,96.03,1.00,92.67,0.00,90.12,0.00,95.40,1.00,96.76,1.00,93.87,0.00,95.38,1.00,92.07,0.00,						98.57,0.00,1.32,0.00,92.83,0.00,91.39,1.00,92.36,0.00,87.44,0.00,96.87,0.00,96.69,1.00,96.82,1.00,87.41,0.00,						97.45,0.00,7.05,0.00,87.79,0.00,86.44,0.00,85.85,1.00,87.44,0.00,92.69,0.00,89.11,0.00,93.63,0.00,83.65,1.00,						98.69,95.71,86.75,97.39,91.94,86.44
