experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					acc_instance_test_first_model, acc_instance_test_before_last_model, acc_instance_test_last_model,					acc_accumilated_instances_test_first_model, acc_accumilated_instances_test_before_last_model, acc_accumilated_instances_test_last_model
0,0,0,60000,1000,1000,0.000200,50.00,98.56,98.56,20.80,18.80,20.80,18.80,98.56,98.56,20.80,18.80,20.80,18.80,96.59,96.77,70.10,72.00,70.10,72.00,18.80,18.80,72.00,18.80,18.80,72.00
0,1,1,60000,1000,2000,0.000300,100.00,98.56,98.56,30.60,32.40,25.70,25.60,96.59,96.77,29.10,32.80,49.60,52.40,95.53,95.74,89.40,90.80,71.90,71.80,32.40,32.80,90.80,25.60,52.40,71.80
0,2,2,60000,1000,3000,0.000300,100.00,98.56,98.56,55.80,57.60,35.73,36.27,95.53,95.74,36.00,34.40,59.93,59.33,96.81,96.94,80.00,83.20,69.97,70.53,57.60,34.40,83.20,36.27,59.33,70.53
0,3,0,60000,1000,4000,0.000200,50.00,98.56,98.56,5.30,6.80,28.12,28.90,96.81,96.94,22.20,22.00,58.02,58.40,94.21,94.68,57.50,57.60,70.33,70.90,6.80,22.00,57.60,28.90,58.40,70.90
0,4,2,60000,1000,5000,0.000300,10.00,98.56,98.56,24.70,23.60,27.44,27.84,94.21,94.68,5.90,3.20,57.44,57.36,89.25,89.71,21.40,19.20,70.80,70.56,23.60,3.20,19.20,27.84,57.36,70.56
0,5,0,60000,1000,6000,0.000500,10.00,98.56,98.56,29.40,30.40,27.77,28.27,89.25,89.71,37.10,39.60,65.18,65.40,79.34,80.02,84.70,82.40,73.62,72.67,30.40,39.60,82.40,28.27,65.40,72.67
0,6,1,60000,1000,7000,0.000500,10.00,98.56,98.56,56.20,56.80,31.83,32.34,79.34,80.02,0.00,0.00,63.10,62.29,91.28,91.68,88.10,86.00,72.36,72.17,56.80,0.00,86.00,32.34,62.29,72.17
0,7,2,60000,1000,8000,0.000500,10.00,98.56,98.56,25.40,23.20,31.02,31.20,91.28,91.68,7.20,8.00,64.21,64.15,89.47,89.90,55.80,54.80,71.29,70.60,23.20,8.00,54.80,31.20,64.15,70.60
0,8,0,60000,1000,9000,0.000400,10.00,98.56,98.56,27.20,30.00,30.60,31.07,89.47,89.90,38.50,40.80,67.64,67.29,87.74,87.99,84.10,84.80,72.57,71.47,30.00,40.80,84.80,31.07,67.29,71.47
0,9,2,60000,1000,10000,0.000700,10.00,98.56,98.56,31.00,29.20,30.64,30.88,87.74,87.99,0.40,0.00,65.35,64.32,88.47,88.74,49.30,44.80,72.47,70.88,29.20,0.00,44.80,30.88,64.32,70.88
