experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					acc_instance_test_first_model, acc_instance_test_before_last_model, acc_instance_test_last_model,					acc_accumilated_instances_test_first_model, acc_accumilated_instances_test_before_last_model, acc_accumilated_instances_test_last_model
0,0,0,60000,1000,1000,0.005125,8.94,98.65,98.63,27.40,24.40,27.40,24.40,98.65,98.63,27.40,24.40,27.40,24.40,9.91,10.09,100.00,100.00,100.00,100.00,24.40,24.40,100.00,24.40,24.40,100.00
0,1,1,60000,1000,2000,0.009566,92.03,98.65,98.63,43.60,45.20,35.50,34.80,9.91,10.09,0.00,0.00,50.00,50.00,17.70,17.97,100.00,100.00,100.00,100.00,45.20,0.00,100.00,34.80,50.00,100.00
0,2,1,60000,1000,3000,0.004271,34.02,98.65,98.63,25.10,23.20,32.03,30.93,17.70,17.97,0.00,0.00,66.67,66.67,25.56,25.84,100.00,100.00,100.00,100.00,23.20,0.00,100.00,30.93,66.67,100.00
0,3,2,60000,1000,4000,0.001553,83.53,98.65,98.63,17.80,21.60,28.48,28.60,25.56,25.84,0.00,0.00,75.00,75.00,24.92,25.33,100.00,100.00,100.00,100.00,21.60,0.00,100.00,28.60,75.00,100.00
0,4,2,60000,1000,5000,0.005291,47.77,98.65,98.63,42.20,45.20,31.22,31.92,24.92,25.33,0.00,0.00,80.00,80.00,31.21,32.11,99.90,99.60,99.96,99.92,45.20,0.00,99.60,31.92,80.00,99.92
0,5,1,60000,1000,6000,0.009533,3.58,98.65,98.63,17.00,13.20,28.85,28.80,31.21,32.11,4.70,4.40,84.08,84.00,29.70,29.59,99.90,100.00,99.93,99.87,13.20,4.40,100.00,28.80,84.00,99.87
0,6,0,60000,1000,7000,0.000251,29.65,98.65,98.63,36.90,42.80,30.00,30.80,29.70,29.59,40.80,41.20,91.49,91.49,30.19,30.30,100.00,100.00,99.97,99.89,42.80,41.20,100.00,30.80,91.49,99.89
0,7,0,60000,1000,8000,0.003407,15.47,98.65,98.63,51.70,51.20,32.71,33.35,30.19,30.30,0.00,0.00,87.47,87.40,29.77,29.97,100.00,100.00,99.97,99.90,51.20,0.00,100.00,33.35,87.40,99.90
0,8,0,60000,1000,9000,0.001803,42.58,98.65,98.63,27.40,28.40,32.12,32.80,29.77,29.97,0.00,0.00,88.87,88.80,34.60,34.50,100.00,100.00,99.96,99.91,28.40,0.00,100.00,32.80,88.80,99.91
0,9,2,60000,1000,10000,0.007412,48.38,98.65,98.63,46.00,42.00,33.51,33.72,34.60,34.50,6.80,6.00,90.64,90.52,41.91,41.69,100.00,100.00,99.95,99.84,42.00,6.00,100.00,33.72,90.52,99.84
