experiment_ID, 					ID, 					instance_ID, 					instance_digit,					instance_noise_type, 					acc_instance_before_last_model, 					acc_instance_last_model,					acc_on_task_first_model,					acc_on_task_before_last_model, 					acc_on_task_last_model					
0,0,0,7,2,50.80,98.80,94.36,94.36,99.61
0,1,0,7,2,98.80,73.60,94.36,99.61,99.22
0,1,1,5,1,10.40,82.40,87.33,75.45,98.32
0,2,0,7,2,73.60,74.00,94.36,99.22,98.44
0,2,1,5,1,82.40,78.40,87.33,98.32,97.76
0,2,2,6,2,0.00,86.80,95.62,57.31,93.42
0,3,0,7,2,74.00,67.20,94.36,98.44,96.30
0,3,1,5,1,78.40,64.00,87.33,97.76,97.42
0,3,2,6,2,86.80,79.20,95.62,93.42,92.48
0,3,3,0,2,14.40,70.80,98.57,82.14,98.67
0,4,0,7,2,67.20,78.80,94.36,96.30,96.98
0,4,1,5,1,64.00,74.80,87.33,97.42,97.42
0,4,2,6,2,79.20,71.20,95.62,92.48,90.08
0,4,3,0,2,70.80,72.80,98.57,98.67,97.35
0,4,4,1,0,9.60,92.80,99.74,74.45,97.36
0,5,0,7,2,78.80,90.00,94.36,96.98,96.50
0,5,1,5,1,74.80,85.20,87.33,97.42,96.97
0,5,2,6,2,71.20,81.20,95.62,90.08,89.04
0,5,3,0,2,72.80,80.80,98.57,97.35,95.92
0,5,4,1,0,92.80,97.20,99.74,97.36,93.39
0,5,5,4,1,13.60,89.20,97.15,59.98,98.98
0,6,0,7,2,90.00,77.60,94.36,96.50,93.48
0,6,1,5,1,85.20,85.20,87.33,96.97,95.18
0,6,2,6,2,81.20,79.60,95.62,89.04,86.33
0,6,3,0,2,80.80,92.80,98.57,95.92,99.59
0,6,4,1,0,97.20,94.40,99.74,93.39,91.54
0,6,5,4,1,89.20,84.80,97.15,98.98,98.98
0,6,6,0,0,32.80,97.20,99.08,96.84,99.39
0,7,0,7,2,77.60,67.60,94.36,93.48,93.09
0,7,1,5,1,85.20,70.80,87.33,95.18,93.05
0,7,2,6,2,79.60,71.60,95.62,86.33,90.29
0,7,3,0,2,92.80,87.60,98.57,99.59,99.49
0,7,4,1,0,94.40,84.00,99.74,91.54,87.14
0,7,5,4,1,84.80,92.00,97.15,98.98,99.08
0,7,6,0,0,97.20,93.60,99.08,99.39,99.59
0,7,7,4,2,31.60,69.20,96.44,84.22,97.15
0,8,0,7,2,67.60,70.40,94.36,93.09,93.68
0,8,1,5,1,70.80,64.00,87.33,93.05,91.37
0,8,2,6,2,71.60,91.20,95.62,90.29,94.68
0,8,3,0,2,87.60,85.20,98.57,99.49,99.29
0,8,4,1,0,84.00,69.60,99.74,87.14,84.41
0,8,5,4,1,92.00,84.00,97.15,99.08,98.07
0,8,6,0,0,93.60,90.80,99.08,99.59,99.39
0,8,7,4,2,69.20,67.20,96.44,97.15,93.89
0,8,8,6,1,43.60,92.40,97.49,94.36,98.54
0,9,0,7,2,70.40,63.20,94.36,93.68,93.39
0,9,1,5,1,64.00,54.00,87.33,91.37,92.94
0,9,2,6,2,91.20,88.80,95.62,94.68,94.26
0,9,3,0,2,85.20,76.80,98.57,99.29,99.29
0,9,4,1,0,69.60,50.80,99.74,84.41,89.25
0,9,5,4,1,84.00,75.20,97.15,98.07,97.66
0,9,6,0,0,90.80,84.00,99.08,99.39,99.29
0,9,7,4,2,67.20,58.00,96.44,93.89,93.08
0,9,8,6,1,92.40,86.40,97.49,98.54,98.54
0,9,9,3,1,4.00,64.40,88.02,73.56,96.44
