experiment_ID, 					ID, 					latest_new_instance_digit, 					noise type, 					Initial training dataset size, 					Oversampling Size per new instance, 					accumilated_retraining_dataset_size, 					lr, 					ewc_lambda, 										acc_digit_0_original_first_model,					acc_digit_1_original_first_model,					acc_digit_2_original_first_model,					acc_digit_3_original_first_model,					acc_digit_4_original_first_model,					acc_digit_5_original_first_model,					acc_digit_6_original_first_model,					acc_digit_7_original_first_model,					acc_digit_8_original_first_model,					acc_digit_9_original_first_model,					acc_digit_0_original_last_model,					acc_digit_1_original_last_model,					acc_digit_2_original_last_model,					acc_digit_3_original_last_model,					acc_digit_4_original_last_model,					acc_digit_5_original_last_model,					acc_digit_6_original_last_model,					acc_digit_7_original_last_model,					acc_digit_8_original_last_model,					acc_digit_9_original_last_model,					acc_digit_0_noise_0_first_model,					acc_digit_1_noise_0_first_model,					acc_digit_2_noise_0_first_model,					acc_digit_3_noise_0_first_model,					acc_digit_4_noise_0_first_model,					acc_digit_5_noise_0_first_model,					acc_digit_6_noise_0_first_model,					acc_digit_7_noise_0_first_model,					acc_digit_8_noise_0_first_model,					acc_digit_9_noise_0_first_model,					acc_digit_0_noise_0_last_model,					acc_digit_1_noise_0_last_model,					acc_digit_2_noise_0_last_model,					acc_digit_3_noise_0_last_model,					acc_digit_4_noise_0_last_model,					acc_digit_5_noise_0_last_model,					acc_digit_6_noise_0_last_model,					acc_digit_7_noise_0_last_model,					acc_digit_8_noise_0_last_model,					acc_digit_9_noise_0_last_model,					acc_digit_0_noise_0_flag,					acc_digit_1_noise_0_flag,					acc_digit_2_noise_0_flag,					acc_digit_3_noise_0_flag,					acc_digit_4_noise_0_flag,					acc_digit_5_noise_0_flag,					acc_digit_6_noise_0_flag,					acc_digit_7_noise_0_flag,					acc_digit_8_noise_0_flag,					acc_digit_9_noise_0_flag,					acc_all_digits_original_first_model,					acc_all_digits_original_last_model,					acc_all_digits_noise_0_first_model,					acc_all_digits_noise_0_last_model,					
0,0,6,0,						60000,1000,1000,0.000134,34.36,						99.49,99.56,99.03,98.42,98.57,98.88,98.96,98.54,97.84,97.32,						96.73,86.43,97.67,95.45,93.69,96.41,99.69,94.75,91.68,93.36,						3.30,55.10,1.60,0.50,8.20,10.60,3.20,0.30,2.60,0.00,						2.40,0.10,0.00,0.00,0.00,10.10,95.50,0.00,0.40,0.00,						0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,						98.67,94.45,8.54,10.85
0,1,4,0,						60000,1000,2000,0.000119,54.58,						99.49,99.56,99.03,98.42,98.57,98.88,98.96,98.54,97.84,97.32,						97.45,90.31,97.87,97.33,99.49,96.86,99.58,95.62,93.53,92.96,						3.30,55.10,1.60,0.50,8.20,10.60,3.20,0.30,2.60,0.00,						1.20,0.00,0.00,0.00,24.50,9.10,61.40,0.00,0.30,0.00,						0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,						98.67,96.00,8.54,9.65
0,2,4,0,						60000,1000,3000,0.000104,54.95,						99.49,99.56,99.03,98.42,98.57,98.88,98.96,98.54,97.84,97.32,						95.92,87.40,97.97,97.23,99.69,96.64,98.23,95.43,93.22,90.39,						3.30,55.10,1.60,0.50,8.20,10.60,3.20,0.30,2.60,0.00,						0.40,0.00,0.10,0.00,96.00,7.80,3.10,0.00,0.00,0.00,						0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,						98.67,95.08,8.54,10.74
0,3,3,0,						60000,1000,4000,0.000154,89.08,						99.49,99.56,99.03,98.42,98.57,98.88,98.96,98.54,97.84,97.32,						97.45,98.68,98.93,99.11,99.59,97.87,97.39,98.15,96.30,93.56,						3.30,55.10,1.60,0.50,8.20,10.60,3.20,0.30,2.60,0.00,						0.60,2.70,0.50,3.80,96.20,10.60,1.90,0.10,0.10,0.00,						0.00,0.00,0.00,1.00,2.00,0.00,1.00,0.00,0.00,0.00,						98.67,97.72,8.54,11.65
0,4,7,0,						60000,1000,5000,0.000124,13.23,						99.49,99.56,99.03,98.42,98.57,98.88,98.96,98.54,97.84,97.32,						94.69,91.37,95.06,99.01,99.69,96.30,95.82,98.74,92.20,92.07,						3.30,55.10,1.60,0.50,8.20,10.60,3.20,0.30,2.60,0.00,						0.20,1.50,0.20,14.80,97.00,8.80,1.60,22.80,0.20,0.00,						0.00,0.00,0.00,1.00,2.00,0.00,1.00,1.00,0.00,0.00,						98.67,95.44,8.54,14.71
0,5,7,0,						60000,1000,6000,0.000263,81.17,						99.49,99.56,99.03,98.42,98.57,98.88,98.96,98.54,97.84,97.32,						95.31,96.92,87.40,98.81,98.78,96.75,93.01,99.61,91.27,88.80,						3.30,55.10,1.60,0.50,8.20,10.60,3.20,0.30,2.60,0.00,						0.20,0.20,0.10,15.10,97.10,6.50,2.00,89.00,0.00,0.00,						0.00,0.00,0.00,1.00,2.00,0.00,1.00,2.00,0.00,0.00,						98.67,94.67,8.54,21.02
0,6,2,0,						60000,1000,7000,0.000319,96.45,						99.49,99.56,99.03,98.42,98.57,98.88,98.96,98.54,97.84,97.32,						92.04,97.71,94.19,98.51,98.98,96.75,91.23,99.03,91.58,86.72,						3.30,55.10,1.60,0.50,8.20,10.60,3.20,0.30,2.60,0.00,						0.10,1.30,4.80,5.30,95.10,4.00,0.60,85.10,0.00,0.00,						0.00,0.00,1.00,1.00,2.00,0.00,1.00,2.00,0.00,0.00,						98.67,94.72,8.54,19.63
0,7,2,0,						60000,1000,8000,0.000182,55.47,						99.49,99.56,99.03,98.42,98.57,98.88,98.96,98.54,97.84,97.32,						90.20,97.89,96.61,98.42,98.78,97.31,91.96,98.54,91.48,87.22,						3.30,55.10,1.60,0.50,8.20,10.60,3.20,0.30,2.60,0.00,						0.10,2.80,13.70,2.10,90.20,4.40,0.20,74.10,0.10,0.00,						0.00,0.00,2.00,1.00,2.00,0.00,1.00,2.00,0.00,0.00,						98.67,94.89,8.54,18.77
0,8,6,0,						60000,1000,9000,0.000162,30.81,						99.49,99.56,99.03,98.42,98.57,98.88,98.96,98.54,97.84,97.32,						89.59,95.68,96.71,98.61,98.37,96.97,96.35,98.64,91.89,88.01,						3.30,55.10,1.60,0.50,8.20,10.60,3.20,0.30,2.60,0.00,						0.00,0.70,6.80,3.80,12.90,4.90,69.90,71.60,0.00,0.00,						0.00,0.00,2.00,1.00,2.00,0.00,2.00,2.00,0.00,0.00,						98.67,95.09,8.54,17.06
0,9,9,0,						60000,1000,10000,0.001294,93.21,						99.49,99.56,99.03,98.42,98.57,98.88,98.96,98.54,97.84,97.32,						91.43,97.89,90.50,97.82,93.48,95.29,94.57,98.15,80.90,92.17,						3.30,55.10,1.60,0.50,8.20,10.60,3.20,0.30,2.60,0.00,						0.50,5.10,14.80,17.80,5.70,8.30,84.20,91.10,0.00,12.90,						0.00,0.00,2.00,1.00,2.00,0.00,2.00,2.00,0.00,1.00,						98.67,93.30,8.54,24.04
